2023-02-01 21:05:47 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-02-01 21:05:47 [main] INFO  c.t.s.config.server.ConfigServer - Starting ConfigServer using Java 17.0.5 with PID 40732 (/home/aman/Realtime-Projects/scekdm/config-server/target/classes started by aman in /home/aman/Realtime-Projects/scekdm/config-server)
2023-02-01 21:05:47 [main] INFO  c.t.s.config.server.ConfigServer - The following 1 profile is active: "development"
2023-02-01 21:05:47 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5b29018c-b208-399b-839b-2d47b735f00e
2023-02-01 21:05:47 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-02-01 21:05:47 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-02-01 21:05:47 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-02-01 21:05:47 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-02-01 21:05:47 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-02-01 21:05:47 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 713 ms
2023-02-01 21:05:48 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-02-01 21:05:48 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-02-01 21:05:48 [main] INFO  c.t.s.config.server.ConfigServer - Started ConfigServer in 1.583 seconds (process running for 1.913)
2023-02-01 21:05:59 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-02-01 21:05:59 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-02-01 21:05:59 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-02-01 21:06:08 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-10107331646079187805/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-10107331646079187805/'
2023-02-01 21:06:08 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-10107331646079187805/config-client.yml]' via location 'file:/tmp/config-repo-10107331646079187805/'
